2025-07-28 21:17:17,294 [INFO] etl.large_log_etl - Iniciando procesamiento streaming: data\sample.log.gz
2025-07-28 21:22:10,930 [INFO] etl.large_log_etl - Iniciando procesamiento streaming: data\sample.log.gz
2025-07-28 21:22:11,788 [INFO] etl.large_log_etl - Progreso: 100,000 líneas | parseadas: 100,000 | inválidas: 0 | errores >= 500: 33,265
2025-07-28 21:22:12,645 [INFO] etl.large_log_etl - Progreso: 200,000 líneas | parseadas: 200,000 | inválidas: 0 | errores >= 500: 66,494
2025-07-28 21:22:13,498 [INFO] etl.large_log_etl - Progreso: 300,000 líneas | parseadas: 300,000 | inválidas: 0 | errores >= 500: 99,705
2025-07-28 21:22:14,388 [INFO] etl.large_log_etl - Progreso: 400,000 líneas | parseadas: 400,000 | inválidas: 0 | errores >= 500: 132,933
2025-07-28 21:22:15,252 [INFO] etl.large_log_etl - Progreso: 500,000 líneas | parseadas: 500,000 | inválidas: 0 | errores >= 500: 166,433
2025-07-28 21:22:16,134 [INFO] etl.large_log_etl - Progreso: 600,000 líneas | parseadas: 600,000 | inválidas: 0 | errores >= 500: 199,691
2025-07-28 21:22:16,981 [INFO] etl.large_log_etl - Progreso: 700,000 líneas | parseadas: 700,000 | inválidas: 0 | errores >= 500: 232,925
2025-07-28 21:22:17,868 [INFO] etl.large_log_etl - Progreso: 800,000 líneas | parseadas: 800,000 | inválidas: 0 | errores >= 500: 266,413
2025-07-28 21:22:18,732 [INFO] etl.large_log_etl - Progreso: 900,000 líneas | parseadas: 900,000 | inválidas: 0 | errores >= 500: 299,592
2025-07-28 21:22:19,609 [INFO] etl.large_log_etl - Progreso: 1,000,000 líneas | parseadas: 1,000,000 | inválidas: 0 | errores >= 500: 333,012
2025-07-28 21:22:20,468 [INFO] etl.large_log_etl - Progreso: 1,100,000 líneas | parseadas: 1,100,000 | inválidas: 0 | errores >= 500: 366,442
2025-07-28 21:22:21,326 [INFO] etl.large_log_etl - Progreso: 1,200,000 líneas | parseadas: 1,200,000 | inválidas: 0 | errores >= 500: 399,581
2025-07-28 21:22:22,177 [INFO] etl.large_log_etl - Progreso: 1,300,000 líneas | parseadas: 1,300,000 | inválidas: 0 | errores >= 500: 432,939
2025-07-28 21:22:23,059 [INFO] etl.large_log_etl - Progreso: 1,400,000 líneas | parseadas: 1,400,000 | inválidas: 0 | errores >= 500: 466,161
2025-07-28 21:22:23,933 [INFO] etl.large_log_etl - Progreso: 1,500,000 líneas | parseadas: 1,500,000 | inválidas: 0 | errores >= 500: 499,675
2025-07-28 21:22:24,803 [INFO] etl.large_log_etl - Progreso: 1,600,000 líneas | parseadas: 1,600,000 | inválidas: 0 | errores >= 500: 532,926
2025-07-28 21:22:25,685 [INFO] etl.large_log_etl - Progreso: 1,700,000 líneas | parseadas: 1,700,000 | inválidas: 0 | errores >= 500: 566,299
2025-07-28 21:22:26,565 [INFO] etl.large_log_etl - Progreso: 1,800,000 líneas | parseadas: 1,800,000 | inválidas: 0 | errores >= 500: 599,901
2025-07-28 21:22:27,441 [INFO] etl.large_log_etl - Progreso: 1,900,000 líneas | parseadas: 1,900,000 | inválidas: 0 | errores >= 500: 633,067
2025-07-28 21:22:28,326 [INFO] etl.large_log_etl - Progreso: 2,000,000 líneas | parseadas: 2,000,000 | inválidas: 0 | errores >= 500: 666,487
2025-07-28 21:22:29,186 [INFO] etl.large_log_etl - Progreso: 2,100,000 líneas | parseadas: 2,100,000 | inválidas: 0 | errores >= 500: 699,948
2025-07-28 21:22:30,035 [INFO] etl.large_log_etl - Progreso: 2,200,000 líneas | parseadas: 2,200,000 | inválidas: 0 | errores >= 500: 733,368
2025-07-28 21:22:30,889 [INFO] etl.large_log_etl - Progreso: 2,300,000 líneas | parseadas: 2,300,000 | inválidas: 0 | errores >= 500: 766,521
2025-07-28 21:22:31,754 [INFO] etl.large_log_etl - Progreso: 2,400,000 líneas | parseadas: 2,400,000 | inválidas: 0 | errores >= 500: 799,924
